project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,days,colours,nearestCam_dist_m,over100
megasurvey,MS#31,MS#31,-83.328693,8.701276,2019-12-27,2020-05-16,None,NA,NA,NA,SALED2-A,MS#31,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,#1AE4B6FF,0,No
megasurvey,MS#3,MS#3,-83.32932,8.40959,2019-12-30,2020-08-06,None,NA,NA,NA,E02,MS#3,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,#1AE4B6FF,6.964578935,No
megasurvey,MS#54,Banadero-Planes,-83.626252,8.635526,2020-03-15,2020-06-06,None,NA,NA,NA,NA,MS#54,NA,extracted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,#1AE4B6FF,17.67389569,No
megasurvey,MS#92,MS#92,-83.3931,8.77077,2020-01-15,2020-05-04,None,NA,NA,NA,MS#92S,MS#92,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,#1AE4B6FF,36.10372978,No
megasurvey,MS#21,MS#21,-83.48104,8.468192,2020-03-11,2020-05-27,None,NA,NA,NA,MS#21S,MS#21,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,#1AE4B6FF,1430.12159,Yes
megasurvey,MS#20,MS#20,-83.47005,8.461318,2020-03-16,2020-05-16,None,NA,NA,NA,MS#20S,MS#20,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,#1AE4B6FF,693.688784,Yes
megasurvey,MS#2,MS#2,-83.33003,8.4068,2019-12-30,2020-04-19,None,NA,NA,NA,E01,MS#2,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,#1AE4B6FF,316.2003594,Yes
megasurvey,MS#1,MS#1,-83.31727,8.42346,2020-02-04,2020-04-17,None,NA,NA,NA,MS1S,MS#1,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,#1AE4B6FF,535.603681,Yes
megasurvey,MS#5,MS#5,-83.34209,8.42644,2020-01-23,2020-05-31,None,NA,NA,NA,MS#5S,MS#5,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,#1AE4B6FF,296.9066901,Yes
megasurvey,MS#108,MS#108,-83.22795,8.721409,2020-03-17,2020-07-11,None,NA,NA,NA,PBNP#6,MS#108,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,#1AE4B6FF,2178.775434,Yes
megasurvey,MS#6,MS#6,-83.35387,8.433,2020-01-29,2020-06-17,None,NA,NA,NA,MS#6S,MS#6,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,#1AE4B6FF,1052.904485,Yes
megasurvey,MS#10,MS#10,-83.40203,8.43491,2020-01-28,2020-04-24,None,NA,NA,NA,MS#10S,MS#10,NA,needs extracting ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,#1AE4B6FF,1992.796781,Yes
