Plot,Date,Bait,Richness,abundance,Onthophagus praecellens,Onthophagus acuminatus,Phanaeus pyrois,Dichotomius satanas,Copris incertus,Copris sp1,Canthidium sp1,Deltochilum gibbosum ,Dichotomius annae,Morpho sp3,Coprophanaeus pecki,Onthophagus nyctopus,Onthophagus nevorivagus,Pedaridium sp1,Onthophagus nyctopus ,Onthophagus limonensis,Uroxys boneti,Coprophanaeus telamon,Canthon aequinoctialis,Coprophanaeus solisi,Euristernus sp1,Eurysternus foedus,Dichotomuis sp1,Sulcophanaeus noctis,Uroxys sp1,Uroxys sp2,Deltochilium sp1,Cyclocephala lurida,Canthon angustatus,Onthophagus haematopus,Canthidium anagabrielae,Canthidium sp1,Onthophagus batesi,Sulcophanaeus noctis,Morpho sp1,Eurysternus vastiorum,Onthophagus digranius,Onthophagus sp1,Morpho sp2,Eurysternus ps2,Eurysternus mexicanus,Onthophagus sp3,Onthophagus sp2,Canthidium haroldi,Eurysternus sp4,Eurysternus sp3,Canton Fulgidus,Coprophanaeus corythus,Coprophanaeus gilli,Canthon molineatus,Canthidium ardens,Canthon subhyalinus,Coprophanaeus chiriquensis,Coprophanaeus sp1,Canthidium angusticeps,Eurysternus parallelus,Onthophagus sp3,Coprophanaeus sp1,Deltochilum burmeisteri,Deltochilum komareike,Onthophagus sp4,Canthon subyalinus,Onthophagus coriaceoumbrosus,Canthidium sp2,Onthophagus sp5,Morpho sp4,Dichotomius mamillatus,Onthophagus sp6
CNP1,10/8/2021,Carrion,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNP1,10/8/2021,Dung,7,15,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MS157,8/11/2021,Carrion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS2,6/5/2021,,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS99,6/6/2021,Dung,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS1,6/5/2021,Carrion,3,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS2,5/6/2021,Dung,8,93,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MS3,5/6/2021,Dung,8,81,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MS10,6/3/2021,Dung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS100,7/13/1905,Carrion,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
