site,common_name,timestamp
MS1,collared_peccary,2020-03-15T09:12:00Z
MS1,collared_peccary,2020-03-15T10:25:00Z
MS1,collared_peccary,2020-03-22T16:45:00Z
MS1,collared_peccary,2020-03-30T06:45:00Z
MS1,collared_peccary,2020-03-31T07:35:00Z
MS1,collared_peccary,2020-04-11T07:40:00Z
MS1,great_curassow,2020-03-24T17:01:00Z
MS1,ocelot,2020-02-23T19:00:00Z
MS1,puma,2020-02-10T16:41:00Z
MS1,puma,2020-02-29T20:36:00Z
MS1,puma,2020-03-22T09:33:00Z
MS1,puma,2020-04-09T07:15:00Z
MS1,tinamou_great,2020-02-13T12:10:00Z
MS10,cat_uid,2020-03-04T07:18:00Z
MS10,central_american_agouti,2020-01-29T11:55:00Z
MS10,central_american_agouti,2020-01-29T16:56:00Z
MS10,central_american_agouti,2020-02-01T17:51:00Z
MS10,central_american_agouti,2020-02-02T09:39:00Z
MS10,central_american_agouti,2020-02-02T09:49:00Z
MS10,central_american_agouti,2020-02-04T15:28:00Z
MS10,central_american_agouti,2020-02-07T15:16:00Z
MS10,central_american_agouti,2020-02-08T06:58:00Z
MS10,central_american_agouti,2020-02-09T11:52:00Z
MS10,central_american_agouti,2020-02-10T13:35:00Z
MS10,central_american_agouti,2020-02-12T14:42:00Z
MS10,central_american_agouti,2020-02-13T10:55:00Z
MS10,central_american_agouti,2020-02-21T11:15:00Z
MS10,central_american_agouti,2020-02-23T16:25:00Z
MS10,central_american_agouti,2020-02-24T08:05:00Z
MS10,central_american_agouti,2020-02-24T16:34:00Z
MS10,central_american_agouti,2020-02-27T15:10:00Z
MS10,central_american_agouti,2020-03-01T07:01:00Z
MS10,central_american_agouti,2020-03-07T10:10:00Z
MS10,central_american_agouti,2020-03-09T17:38:00Z
MS10,central_american_agouti,2020-03-16T14:47:00Z
MS10,central_american_agouti,2020-03-16T15:06:00Z
MS10,central_american_agouti,2020-03-21T06:51:00Z
MS10,central_american_agouti,2020-03-23T17:22:00Z
MS10,central_american_agouti,2020-03-24T17:02:00Z
MS10,central_american_agouti,2020-03-27T16:11:00Z
MS10,central_american_agouti,2020-04-02T12:08:00Z
MS10,central_american_agouti,2020-04-03T07:09:00Z
MS10,central_american_agouti,2020-04-03T08:50:00Z
MS10,central_american_agouti,2020-04-03T17:10:00Z
MS10,central_american_agouti,2020-04-05T08:45:00Z
MS10,central_american_agouti,2020-04-06T13:35:00Z
MS10,central_american_agouti,2020-04-12T08:07:00Z
MS10,central_american_agouti,2020-04-13T06:30:00Z
MS10,central_american_agouti,2020-04-22T15:33:00Z
MS10,central_american_agouti,2020-04-24T14:31:00Z
MS10,collared_peccary,2020-02-05T09:49:00Z
MS10,great_curassow,2020-01-31T08:50:00Z
MS10,great_curassow,2020-02-19T17:34:00Z
MS10,great_curassow,2020-02-29T11:42:00Z
MS10,margay,2020-01-29T02:24:00Z
MS10,margay,2020-03-26T18:54:00Z
MS10,ocelot,2020-03-08T01:28:00Z
MS10,puma,2020-04-10T16:24:00Z
MS10,spotted_paca,2020-01-29T01:58:00Z
MS10,spotted_paca,2020-02-05T02:48:00Z
MS10,spotted_paca,2020-02-17T20:20:00Z
MS10,spotted_paca,2020-02-19T18:36:00Z
MS10,striped_hog_nosed_skunk,2020-01-28T11:40:00Z
MS10,tinamou_great,2020-01-29T14:51:00Z
MS10,tinamou_great,2020-02-05T06:02:00Z
MS10,tinamou_great,2020-02-06T06:18:00Z
MS10,tinamou_great,2020-02-09T09:32:00Z
MS10,tinamou_great,2020-02-25T11:11:00Z
MS10,tinamou_great,2020-02-25T11:17:00Z
MS10,tinamou_great,2020-02-25T11:46:00Z
MS10,tinamou_great,2020-03-05T08:32:00Z
MS10,tinamou_great,2020-03-05T16:14:00Z
MS10,tinamou_great,2020-03-06T06:23:00Z
MS10,tinamou_great,2020-03-07T09:32:00Z
MS10,tinamou_great,2020-03-15T09:14:00Z
MS10,tinamou_great,2020-04-10T05:33:00Z
MS10,tinamou_great,2020-04-16T05:48:00Z
MS10,tinamou_great,2020-04-17T14:29:00Z
MS10,white_nosed_coati,2020-02-29T15:19:00Z
MS100,central_american_agouti,2020-01-18T17:10:00Z
MS100,central_american_agouti,2020-01-19T07:25:00Z
MS100,central_american_agouti,2020-01-24T16:00:00Z
MS100,central_american_agouti,2020-01-28T17:01:00Z
MS100,central_american_agouti,2020-01-29T16:40:00Z
MS100,central_american_agouti,2020-02-03T16:24:00Z
MS100,central_american_agouti,2020-02-09T09:52:00Z
MS100,central_american_agouti,2020-02-11T05:45:00Z
MS100,central_american_agouti,2020-02-12T17:14:00Z
MS100,collared_peccary,2020-01-29T14:50:00Z
MS100,collared_peccary,2020-01-29T15:02:00Z
MS100,collared_peccary,2020-02-11T16:26:00Z
MS100,greater_grison,2020-01-23T15:48:00Z
MS100,northern_tamandua,2020-02-03T23:36:00Z
MS100,ocelot,2020-01-27T04:00:00Z
MS100,peccary_uid,2020-01-19T16:36:00Z
MS100,striped_hog_nosed_skunk,2020-01-23T00:09:00Z
MS100,striped_hog_nosed_skunk,2020-01-28T20:05:00Z
MS100,white_nosed_coati,2020-01-17T13:52:00Z
MS100,white_nosed_coati,2020-01-21T13:51:00Z
MS100,white_nosed_coati,2020-01-21T15:43:00Z
MS100,white_nosed_coati,2020-01-21T16:15:00Z
MS100,white_nosed_coati,2020-01-24T10:52:00Z
MS100,white_nosed_coati,2020-01-31T10:05:00Z
MS100,white_nosed_coati,2020-02-02T09:24:00Z
MS100,white_nosed_coati,2020-02-06T15:40:00Z
MS100,white_nosed_coati,2020-02-06T17:57:00Z
MS100,white_nosed_coati,2020-02-13T15:04:00Z
MS101,central_american_agouti,2020-01-21T15:02:00Z
MS101,central_american_agouti,2020-02-15T14:36:00Z
MS101,central_american_agouti,2020-02-23T05:48:00Z
MS101,central_american_agouti,2020-02-23T17:48:00Z
MS101,central_american_agouti,2020-02-24T10:10:00Z
MS101,central_american_agouti,2020-03-06T09:51:00Z
MS101,central_american_agouti,2020-03-06T13:51:00Z
MS101,central_american_agouti,2020-03-06T16:04:00Z
MS101,central_american_agouti,2020-03-15T07:59:00Z
MS101,central_american_agouti,2020-03-16T08:26:00Z
MS101,central_american_agouti,2020-03-17T06:14:00Z
MS101,central_american_agouti,2020-03-17T06:59:00Z
MS101,central_american_agouti,2020-03-19T10:10:00Z
MS101,central_american_agouti,2020-03-19T17:00:00Z
MS101,central_american_agouti,2020-03-30T08:06:00Z
MS101,central_american_agouti,2020-04-11T06:13:00Z
MS101,central_american_agouti,2020-04-12T15:11:00Z
MS101,central_american_agouti,2020-04-13T08:22:00Z
MS101,central_american_agouti,2020-04-14T07:34:00Z
MS101,central_american_agouti,2020-04-15T09:01:00Z
MS101,central_american_agouti,2020-04-16T06:30:00Z
MS101,central_american_agouti,2020-04-16T06:36:00Z
MS101,central_american_agouti,2020-04-17T05:57:00Z
MS101,central_american_agouti,2020-04-17T08:10:00Z
MS101,central_american_agouti,2020-04-18T16:14:00Z
MS101,central_american_agouti,2020-04-19T07:56:00Z
MS101,central_american_agouti,2020-04-24T06:22:00Z
MS101,central_american_agouti,2020-04-26T06:08:00Z
MS101,central_american_agouti,2020-04-28T14:12:00Z
MS101,central_american_agouti,2020-05-02T07:54:00Z
MS101,central_american_agouti,2020-05-02T08:08:00Z
MS101,central_american_agouti,2020-05-02T08:17:00Z
MS101,central_american_agouti,2020-05-06T06:12:00Z
MS101,collared_peccary,2020-03-24T06:42:00Z
MS101,collared_peccary,2020-03-24T08:39:00Z
MS101,collared_peccary,2020-03-31T08:18:00Z
MS101,crab_eating_raccoon,2020-01-19T20:21:00Z
MS101,crab_eating_raccoon,2020-01-28T21:47:00Z
MS101,crab_eating_raccoon,2020-02-08T20:40:00Z
MS101,crab_eating_raccoon,2020-03-16T21:07:00Z
MS101,great_curassow,2020-04-16T08:43:00Z
MS101,jaguarundi,2020-03-11T15:43:00Z
MS101,margay,2020-01-18T01:45:00Z
MS101,margay,2020-01-28T22:10:00Z
MS101,northern_tamandua,2020-04-07T08:53:00Z
MS101,ocelot,2020-01-16T18:39:00Z
MS101,ocelot,2020-02-11T06:15:00Z
MS101,ocelot,2020-02-29T00:16:00Z
MS101,ocelot,2020-03-15T19:48:00Z
MS101,puma,2020-01-18T16:57:00Z
MS101,puma,2020-03-13T16:35:00Z
MS101,spotted_paca,2020-01-24T01:39:00Z
MS101,tayra,2020-01-27T14:24:00Z
MS101,tayra,2020-02-10T16:13:00Z
MS101,tayra,2020-04-03T14:51:00Z
MS101,tinamou_great,2020-02-05T15:27:00Z
MS101,tinamou_little,2020-02-01T05:52:00Z
MS101,tinamou_little,2020-03-15T08:39:00Z
MS101,white_nosed_coati,2020-01-29T06:57:00Z
MS101,white_nosed_coati,2020-02-20T14:25:00Z
MS101,white_nosed_coati,2020-02-29T09:37:00Z
MS101,white_nosed_coati,2020-03-12T07:39:00Z
MS101,white_nosed_coati,2020-03-17T09:12:00Z
MS101,white_nosed_coati,2020-03-17T09:38:00Z
MS101,white_nosed_coati,2020-03-17T11:38:00Z
MS101,white_nosed_coati,2020-03-17T11:47:00Z
MS101,white_nosed_coati,2020-05-05T10:17:00Z
