site,ph,acid,Ca,Mg,K,CICE,SA,P,Zn,Cu,Fe,Mn,CE,C,N,C_N
MS110,5,1.84,3.36,2.13,0.14,7.47,25,2,2.1,6,156,179,0.3,7.88,0.62,12.7
MS144,5.8,0.24,5.6,2.45,0.27,8.56,3,1,2,10,42,47,0.2,7.69,0.69,11.1
MS148,5.4,0.63,3.53,1.46,0.07,5.69,11,1,0.6,11,54,50,0.3,9.01,0.73,12.3
PNC9,5.8,0.22,5.8,1.59,0.28,7.89,3,4,0.2,2,54,8,0.2,2.7,0.28,9.6
MS156,5.5,0.52,3.33,0.77,0.11,4.73,11,1,1.2,14,89,54,0.2,6.85,0.52,13.2
MS161,5.6,0.46,3.92,1.58,0.14,6.1,8,1,1.7,15,94,73,0.2,7.02,0.56,12.5
MS151,5.1,1.02,2.99,0.97,0.1,5.08,20,2,0.8,12,125,59,0.3,8.17,0.63,13
MS177,5.2,0.95,0.99,0.54,0.11,2.59,37,1,0.7,7,60,104,0.3,12.56,0.87,14.4
MS133,5.2,1.7,7.75,3.05,0.27,12.77,13,3,1.7,7,117,258,0.2,5.17,0.49,10.6
PNC2,5.5,0.37,16.6,7.65,0.22,24.84,2,NA,1.2,5,77,183,0.2,3.55,0.38,9.3
MS117,5.6,0.22,12.78,5.49,0.9,19.39,1,2,2.3,5,67,170,0.1,2.55,0.26,9.8
MS150,5.2,0.72,3.66,1.31,0.21,5.9,12,2,0.7,14,72,128,0.4,7.38,0.67,11
MS162,5.7,0.23,9.87,3.13,0.37,13.6,2,3,1.3,5,70,64,0.4,8.17,0.7,11.7
MS138,5.1,1.38,12.05,5.03,0.26,18.72,7,2,1.1,5,97,129,0.3,5.28,0.53,10
MS134,4.9,6.9,3.81,2.13,0.15,12.99,53,1,2.2,6,106,180,0.1,2.03,0.21,9.7
MS111,5.8,0.21,23.32,6.64,0.82,30.99,0.7,4,1.6,3,33,227,0.2,4.05,0.34,11.9
MS120,5.1,4.6,27.85,5.88,0.5,38.83,12,1,3,5,18,104,0.1,4.5,0.38,11.8
PNC5,5.5,0.34,14.97,6.97,0.16,22.44,2,NA,1.8,3,97,220,0.3,3.38,0.33,10.2
PNC7,6.6,0.11,24.05,4.6,0.52,29.28,0.4,5,0.8,5,55,31,0.3,3.9,0.35,11.1
MS186,4.6,2.43,1.14,0.52,0.34,4.43,55,9,1.2,1,425,29,0.3,5.18,0.46,11.3
PNC,6.2,0.11,22.34,8.72,0.22,31.39,0.4,2,1,8,82,75,0.3,4.25,0.37,11.5
261,5,2.83,3.4,3.46,0.27,9.96,28,1,1.1,7,133,252,0.2,4.83,0.45,10.7
MS157,5.3,0.27,7.32,2.87,0.47,10.93,3,4,1.7,13,123,200,0.2,1.9,0.2,9.5
MS169,5.4,0.97,2.32,0.94,0.12,4.35,22,1,1.1,7,51,50,0.1,3.04,0.31,9.8
