File.Paths,fname,date,stn,day,daytime,select3,survey,sw,gid,sw2,mountpath
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_010000.wav,SWIFT_20200511_010000,2020-05-11 01:00:00,C#1,200511,FALSE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_010000.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_012000.wav,SWIFT_20200511_012000,2020-05-11 01:20:00,C#1,200511,FALSE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_012000.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_014001.wav,SWIFT_20200511_014001,2020-05-11 01:40:01,C#1,200511,FALSE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_014001.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_060000.wav,SWIFT_20200511_060000,2020-05-11 06:00:00,C#1,200511,FALSE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_060000.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_062001.wav,SWIFT_20200511_062001,2020-05-11 06:20:01,C#1,200511,FALSE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_062001.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_064003.wav,SWIFT_20200511_064003,2020-05-11 06:40:03,C#1,200511,FALSE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_064003.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_070004.wav,SWIFT_20200511_070004,2020-05-11 07:00:04,C#1,200511,TRUE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_070004.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_072006.wav,SWIFT_20200511_072006,2020-05-11 07:20:06,C#1,200511,TRUE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_072006.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_074007.wav,SWIFT_20200511_074007,2020-05-11 07:40:07,C#1,200511,TRUE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_074007.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_080008.wav,SWIFT_20200511_080008,2020-05-11 08:00:08,C#1,200511,TRUE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_080008.wav
/content/drive/MyDrive/Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_082016.wav,SWIFT_20200511_082016,2020-05-11 08:20:16,C#1,200511,TRUE,FALSE,MEGASURVEY Acoustics - #2,14,1,0,Colab Notebooks/Mega Survey 2020 Data /MEGASURVEY Acoustics - #2/C#1/SWIFT_003/SWIFT_2020-05-11/SWIFT_20200511_082016.wav
